087684001073,5.29,2,7.00,08/28/2024,09/03/2024,087684001073,11132,CAPRI SUN FRUIT PUNCH 10.0EA,17.19,4,3.58,-22.79
087684001004,5.29,2,7.00,08/28/2024,09/03/2024,087684001004,11138,CAPRI SUN WILD CHERRY 10.0EA,17.19,4,3.58,-22.79
072101343805,4.89,2,5.00,08/28/2024,09/03/2024,072101343805,,LA VIC TH CH SALSA MILD 16.0OZ,34.12,12,4.78,-13.73
072101012206,4.89,2,5.00,08/28/2024,09/03/2024,072101012206,16292,LA VIC TH CH SALSA MILD 16.0OZ,32.96,12,4.78,-9.87
600699003285,3.19,1,1.99,08/28/2024,09/03/2024,600699003285,26810,JET PUFF MARSHMALLOW 12.0OZ,33.05,18,1.20,7.73
050000322756,5.69,2,7.00,08/28/2024,09/03/2024,050000322756,80031,COFFEEMATE FR VANILLA 32.0FLOZ,25.36,6,4.38,-20.76
050000322909,5.69,2,7.00,08/28/2024,09/03/2024,050000322909,80039,COFFEEMATE HAZELNUT 32.0FLOZ,25.36,6,4.38,-20.76
050000886807,5.69,2,7.00,08/28/2024,09/03/2024,050000886807,80045,COFFEEMATE COCONUT CREME 32.0FLOZ,25.36,6,4.38,-20.76
050000848119,5.69,2,7.00,08/28/2024,09/03/2024,050000848119,80096,COFFEEMATE S F FRNC VAN 32.0FLOZ,25.36,6,4.38,-20.76
050000848089,5.69,2,7.00,08/28/2024,09/03/2024,050000848089,,COFFEEMATE S F HAZELNUT 32.0FLOZ,25.36,6,4.38,-20.76
050000302628,5.69,2,7.00,08/28/2024,09/03/2024,050000302628,80116,COFFEEMATE ORIGINAL 32.0FLOZ,25.36,6,4.38,-20.76
050000512775,5.69,2,7.00,08/28/2024,09/03/2024,050000512775,80321,COFFEEMATE CINN VAN 32.0FLOZ,25.36,6,4.38,-20.76
050000886104,5.69,2,7.00,08/28/2024,09/03/2024,050000886104,80322,COFFEEMATE PPRMNT MOCHA 32.0FLOZ,25.36,6,4.38,-20.76
704051702035,8.19,1,5.29,08/28/2024,09/03/2024,704051702035,88039,CURLY S BBQ TUB CHICKEN 16.0OZ,27.07,6,2.90,14.71
704051701038,8.19,1,5.29,08/28/2024,09/03/2024,704051701038,88040,CURLY S BBQ TUB PORK 16.0OZ,27.07,6,2.90,14.71
888313914999,7.09,1,4.99,08/28/2024,09/03/2024,888313914999,88275,NATHAN S BEEF FRANK 12.0OZ,49.32,12,2.10,17.64
036800475236,19.59,1,9.99,08/28/2024,09/03/2024,036800475236,90481,FC FROZEN BF PATTY 80 20 48.0OZ,89.26,8,9.60,-11.69
