300450449092,TYLENOL EX STR CAPLETS 100.0EA,TYLENOL EX STR CAPL,3,False,1,62573,6,68.000,15.75,1,15.75,67.26,0.0,0.7399999999999949,11.33,28.06
851944007873,RM ORAL KIDS TB HEALTHY FUN 4.0EA,RM ORAL KIDS TB HEA,3,False,1,63580,12,21.150,4.79,1,2.99,21.15,1.7999999999999998,0.0,1.76,63.26
720112004665,ROLAIDS ADV SOFTCHEW MIX BERRY 6.0EA,ROLAIDS ADV SOFTCHE,3,False,1,,12,17.240,2.39,1,2.39,11.67,0.0,5.5699999999999985,1.44,39.75
041167104330,ROLAIDS ADV SOFTCHEW MIX BERRY 6.0EA,ROLAIDS ADV SOFTCHE,3,False,1,65424,12,17.240,2.39,1,2.39,11.67,0.0,5.5699999999999985,1.44,39.75
040822011143,SABRA CLASSIC HUMMUS 10.0OZ,SABRA CLASSIC HUMMU,1,True,0,80222,12,35.940,7.69,1,4.99,35.94,2.7,0.0,2.99,61.12
040822011549,SABRA RST RED PEPPER HUMMUS 10.0OZ,SABRA RST RED PEPPE,1,True,0,80223,12,35.940,7.69,1,4.99,35.94,2.7,0.0,2.99,61.12
040822011242,SABRA ROASTED GARLIC HUMMUS 10.0OZ,SABRA ROASTED GARLI,1,True,0,80224,12,35.940,7.69,1,4.99,35.94,2.7,0.0,2.99,61.12
040822011747,SABRA ROASTED PINE NUT HUMMUS 10.0OZ,SABRA ROASTED PINE,1,True,0,80226,12,35.940,7.69,1,4.99,35.94,2.7,0.0,2.99,61.12
026400000105,DG BUTTER QUARTERS 16.0OZ,DG BUTTER QUARTERS,1,True,0,86912,30,144.550,7.99,1,7.99,139.73,0.0,4.820000000000022,4.82,39.67
026400000204,DG BUTTER UNSALTED QUARTERS 16.0OZ,DG BUTTER UNSALTED,1,True,0,86922,18,86.700,7.99,1,7.99,83.81,0.0,2.8900000000000006,4.82,39.67
036800459953,CRAV N PIZZA PEPP RCRST 28.3OZ,CRAV N PIZZA PEPP R,1,True,0,93311,12,55.680,7.49,1,7.29,55.68,0.20000000000000018,0.0,4.64,38.05
036800459960,CRAV N PIZZA 3 MEAT RCRST 30.5OZ,CRAV N PIZZA 3 MEAT,1,True,0,93363,12,55.680,7.49,1,7.29,55.68,0.20000000000000018,0.0,4.64,38.05
071921477639,CALIF PIZZA TC SICILIAN 15.5OZ,CALIF PIZZA TC SICI,1,True,0,93876,14,97.960,11.09,1,10.59,97.96,0.5,0.0,7.0,36.88
051000078742,PEP FRM PUF PASTRY SHT 17.3OZ,PEP FRM PUF PASTRY,1,True,0,93882,12,56.990,7.99,1,7.59,56.99,0.40000000000000036,0.0,4.75,40.55
071921624910,CALIF PIZZA TC BBQ CHICKEN 14.7OZ,CALIF PIZZA TC BBQ,1,True,0,93910,14,97.960,11.09,1,10.59,97.96,0.5,0.0,7.0,36.88
036800460034,CRAV N PIZZA HAWAIIAN PIZZERIA 19.0OZ,CRAV N PIZZA HAWAII,1,True,0,,12,57.610,7.79,1,7.39,57.61,0.40000000000000036,0.0,4.8,38.38
020000001807,GREEN GIANT BROCCOLI  CHEESE SAUCE,GREEN GIANT BROCCOLI,1,True,0,,1,17.740,2.85,1,2.49,0.0,0.3599999999999999,17.74,17.74,-522.46
