009300001328,MT. OLIVE SWEET HT,MT. OLIVE SWEET HT CHPS 16.0OZ,,,0,1,,0,0,0,9466,0,0,0,,,6,17.1900,46.8460,88.1326,1,5.39,0,0,,0,0.000,0.000,,True,False,False,,,False,True
009300003629,MT OLIVE VIDALIA ST,MT OLIVE VIDALIA STRIPS 16.0OZ,,,0,1,,0,0,0,9483,0,0,0,,,6,17.1900,46.8460,46.8460,1,5.39,0,0,,0,0.000,-3.000,,True,False,False,,,False,True
009300004534,MT OLIVE KOSHER DILL,MT OLIVE ORGANIC KOSHER DILL SPEARS,,,0,1,1-1,0,0,,,0,0,0,,,1,0.0000,100.0000,0.0000,1,5.49,0,0,0.000,0,0.000,-18.000,,True,False,False,,,False,True
009300006514,MT OLIVE KSHR DLL S,MT OLIVE KSHR DLL SLC W SEA SL 24.0OZ,,,0,1,,0,0,0,9458,0,0,0,,,12,38.6600,44.3581,44.3581,1,5.79,0,0,,0,0.000,-6.000,,True,False,False,,,False,True
009542426880,LINDT DARK MILK,LINDT DARK MILK,,,0,1,1-1,0,0,,,0,0,0,,,1,0.0000,100.0000,0.0000,1,3.59,0,0,0.000,0,0.000,-14.000,,True,False,False,,,False,True
009800000555,KINDER BUENO 2PC BA,KINDER BUENO 2PC BAR 1.5OZ,,,0,1,1-2,194,0,,28619,0,0,0,,,20,23.5100,43.7560,43.7560,1,2.09,0,0,0.000,0,0.000,-174.000,,True,False,False,,,False,True
009800001002,TIC TAC FRUIT ADVEN,TIC TAC FRUIT ADVENTURE 1.7OZ,,,0,1,1-2,0,0,1,,1,0,0,,,12,20.1600,41.8685,72.0238,1,2.89,0,0,0.000,0,0.000,-16.000,,True,False,False,,,True,True
009800001026,TIC TAC FRESHMINT,TIC TAC FRESHMINT 1.7OZ,,,0,3,,0,0,1,,1,0,0,,,12,20.1600,0.0000,0.0000,1,2.89,0,0,,0,0.000,0.000,,False,False,False,,,False,True
009800003624,TICTAC STBRRY&CM 1OZ,TICTAC STRAWBERRY&CREAM 1OZ,,,0,1,1-2,0,0,,,0,0,0,,,1,0.0000,100.0000,0.0000,1,1.79,0,0,0.000,0,0.000,-15.000,,True,False,False,,,False,True
009800007608,TIC TAC FRUIT ADVEN,TIC TAC FRUIT ADVENTURE 1.0OZ,,,0,1,1-2,0,0,,31594,0,0,0,,,12,12.6000,47.2362,47.2362,1,1.99,0,0,0.000,0,0.000,-126.000,,True,False,False,,,False,True
009800007615,TIC TAC FRESHMINT,TIC TAC FRESHMINT 1.0OZ,,,0,1,1-2,0,0,,31534,0,0,0,,,12,12.6000,47.2362,47.2362,1,1.99,0,0,0.000,0,0.000,-64.000,,True,False,False,,,False,True
